  7.6000000e+001  9.7029573e-001  2.4192190e-001  1.2122176e+000
  7.7000000e+001  9.7437006e-001  2.2495105e-001  1.1993211e+000
  7.8000000e+001  9.7814760e-001  2.0791169e-001  1.1860593e+000
  7.9000000e+001  9.8162718e-001  1.9080900e-001  1.1724362e+000
  8.0000000e+001  9.8480775e-001  1.7364818e-001  1.1584559e+000
  8.1000000e+001  9.8768834e-001  1.5643447e-001  1.1441228e+000
  8.2000000e+001  9.9026807e-001  1.3917310e-001  1.1294412e+000
  8.3000000e+001  9.9254615e-001  1.2186934e-001  1.1144155e+000
  8.4000000e+001  9.9452190e-001  1.0452846e-001  1.0990504e+000
  8.5000000e+001  9.9619470e-001  8.7155743e-002  1.0833504e+000
  8.6000000e+001  9.9756405e-001  6.9756474e-002  1.0673205e+000
  8.7000000e+001  9.9862953e-001  5.2335956e-002  1.0509655e+000
  8.8000000e+001  9.9939083e-001  3.4899497e-002  1.0342903e+000
  8.9000000e+001  9.9984770e-001  1.7452406e-002  1.0173001e+000
  9.0000000e+001  1.0000000e+000 -0.0000000e+000  1.0000000e+000
  9.1000000e+001  9.9984770e-001 -1.7452406e-002  9.8239529e-001
  9.2000000e+001  9.9939083e-001 -3.4899497e-002  9.6449133e-001
  9.3000000e+001  9.9862953e-001 -5.2335956e-002  9.4629358e-001
  9.4000000e+001  9.9756405e-001 -6.9756474e-002  9.2780758e-001
  9.5000000e+001  9.9619470e-001 -8.7155743e-002  9.0903896e-001
  9.6000000e+001  9.9452190e-001 -1.0452846e-001  8.8999343e-001
  9.7000000e+001  9.9254615e-001 -1.2186934e-001  8.7067681e-001
  9.8000000e+001  9.9026807e-001 -1.3917310e-001  8.5109497e-001
  9.9000000e+001  9.8768834e-001 -1.5643447e-001  8.3125388e-001
  1.0000000e+002  9.8480775e-001 -1.7364818e-001  8.1115958e-001
